"sigma_obs","beta_intercept"
0.289056930400236,-0.0880067010201896
0.29619460055527,-0.095058019816144
0.319304272178313,-0.145070862787366
0.301850840998509,-0.107671868522235
0.307609976079237,-0.122716059732591
0.310531607434583,-0.116068063067606
0.292004638695299,-0.112424123120376
0.301898577355073,-0.11373450708639
0.303669969964526,-0.0770460433007842
0.315185843570034,-0.117487972787264
0.294420812513546,-0.118811596304106
0.314123486097984,-0.126713316491007
0.290227799099652,-0.119308168715997
0.330340913273493,-0.0684311491522394
0.337336553568693,-0.0935842943626056
0.298582913549262,-0.11669595192483
0.319646226040939,-0.111095997608246
0.30710839984833,-0.0891464017088777
0.289355072542845,-0.0899925821209949
0.315496134496983,-0.0829065818171658
0.315706114288626,-0.135562176003717
0.288419898664019,-0.121205144215818
0.289744236300251,-0.128108108941095
0.310962942814099,-0.102637406474283
0.299403707481941,-0.122326588663576
0.315725748528909,-0.103112693963032
0.335196903277299,-0.0874136815393469
0.339172369112536,-0.0995403927285265
0.332006327927161,-0.112677927945877
0.313474045899824,-0.118333712889469
0.347256236290894,-0.117469735367058
0.328755719441572,-0.116599680781966
0.305442031315526,-0.120940063437674
0.309845364139863,-0.124905304669851
0.318163139166197,-0.13223473765133
0.292838136164208,-0.109856606366966
0.302281555034074,-0.112395996199311
0.306737256120387,-0.103970668748934
0.321769218326787,-0.112277033428181
0.334857119964318,-0.115228294719881
0.336105119310844,-0.123125225904332
0.328827816645959,-0.15542829992788
0.31062515252068,-0.117986040548898
0.322603337005105,-0.0944315026782124
0.332614480470061,-0.138441199308003
0.326122008653866,-0.116459752984231
0.293297958785388,-0.0878201349340239
0.299556447719789,-0.133994073045463
0.288933851924458,-0.103322774339003
0.334026578414153,-0.139946561926579
0.300951525413306,-0.12863894256119
0.309482496860603,-0.126008014518768
0.306075377441561,-0.0936853823586876
0.304023474679631,-0.104714938770303
0.314329379674957,-0.142303514352154
0.345953481408123,-0.0897147570359903
0.298296181924033,-0.0663563224935901
0.299377266256678,-0.0944021908032624
0.278792037474877,-0.112655771697577
0.308473555082459,-0.0989571700567524
0.31343376110702,-0.136970040483711
0.326909439566886,-0.144037041886615
0.297827832360685,-0.106256487881937
0.310963303588472,-0.142844036629975
0.330472001505834,-0.11245708690879
0.2999520457951,-0.102145424354941
0.347093706860508,-0.088053713185426
0.328845418706343,-0.0971824531696067
0.322536147979184,-0.110367251646907
0.33366731067265,-0.121191482139368
0.298451838237143,-0.116939426440999
0.306180284091494,-0.0865557835457873
0.320349230608343,-0.147401756833429
0.362933826014296,-0.108330955614929
0.321203593003625,-0.144692421849189
0.318456326072949,-0.10299374725725
0.334195670195438,-0.116626329388535
0.313549098096832,-0.14243702426855
